Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"CN13"	,"A1257WR-S-2P"	,"CONN-SMD_A1257WR-S-2P"	,"28.636mm"	,"-3.556mm"	,"28.636mm"	,"-3.556mm"	,"28.011mm"	,"-5.156mm"	,"4"	,"T"	,"180"	,"Yes"	,"A1257WR-S-2P"	,
"CN14"	,"A1257WR-S-2P"	,"CONN-SMD_A1257WR-S-2P"	,"19.812mm"	,"-3.556mm"	,"19.812mm"	,"-3.556mm"	,"19.187mm"	,"-5.156mm"	,"4"	,"T"	,"180"	,"Yes"	,"A1257WR-S-2P"	,
"U30"	,"GH1.25-4PWBPZ"	,"CONN-SMD_GH1.25-4PWBPZ"	,"38.608mm"	,"-3.156mm"	,"38.608mm"	,"-3.156mm"	,"36.733mm"	,"-4.757mm"	,"6"	,"T"	,"0"	,"Yes"	,"GH1.25-4PWBPZ"	,
"U24"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-26.67mm"	,"54.61mm"	,"-26.67mm"	,"57.15mm"	,"-26.67mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U25"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-24.13mm"	,"54.61mm"	,"-24.13mm"	,"57.15mm"	,"-24.13mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U26"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-21.59mm"	,"54.61mm"	,"-21.59mm"	,"57.15mm"	,"-21.59mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U27"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-19.05mm"	,"54.61mm"	,"-19.05mm"	,"57.15mm"	,"-19.05mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U28"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-16.51mm"	,"54.61mm"	,"-16.51mm"	,"57.15mm"	,"-16.51mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U29"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-13.97mm"	,"54.61mm"	,"-13.97mm"	,"57.15mm"	,"-13.97mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U5"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"5.08mm"	,"-8.509mm"	,"5.08mm"	,"-8.509mm"	,"2.54mm"	,"-8.509mm"	,"3"	,"T"	,"0"	,"No"	,"PH-00014"	,
"C24"	,"GCM155R71C104KA55J"	,"C0402"	,"4.826mm"	,"-4.318mm"	,"4.826mm"	,"-4.318mm"	,"4.281mm"	,"-4.318mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C25"	,"GCM155R71C104KA55J"	,"C0402"	,"54.926mm"	,"-4.445mm"	,"54.926mm"	,"-4.445mm"	,"54.381mm"	,"-4.445mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"SW1"	,"YD-3410"	,"SW-SMD_L3.9-W2.9-LS4.8-EH-A"	,"4.825mm"	,"-1.651mm"	,"4.826mm"	,"-1.651mm"	,"7.125mm"	,"-1.651mm"	,"2"	,"T"	,"180"	,"Yes"	,"YD-3410"	,
"SW2"	,"YD-3410"	,"SW-SMD_L3.9-W2.9-LS4.8-EH-A"	,"54.99mm"	,"-1.778mm"	,"54.991mm"	,"-1.778mm"	,"57.29mm"	,"-1.778mm"	,"2"	,"T"	,"180"	,"Yes"	,"YD-3410"	,
"U6"	,"TJA1042T/1J"	,"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	,"18.415mm"	,"-10.795mm"	,"18.415mm"	,"-10.795mm"	,"21.12mm"	,"-12.7mm"	,"8"	,"T"	,"90"	,"Yes"	,"TJA1042T/1J"	,
"R23"	,"0603WAF2101T5E"	,"R0603"	,"33.401mm"	,"-29.337mm"	,"33.401mm"	,"-29.337mm"	,"33.401mm"	,"-30.09mm"	,"2"	,"T"	,"90"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
"R24"	,"0603WAF2101T5E"	,"R0603"	,"35.179mm"	,"-34.036mm"	,"35.179mm"	,"-34.036mm"	,"35.932mm"	,"-34.036mm"	,"2"	,"T"	,"180"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
"R25"	,"0603WAF2101T5E"	,"R0603"	,"31.623mm"	,"-31.623mm"	,"31.623mm"	,"-31.623mm"	,"31.623mm"	,"-32.376mm"	,"2"	,"T"	,"90"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
