Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"D1"	,"DSK310"	,"SOD-123_L2.7-W1.8-LS3.7-RD"	,"42.799mm"	,"-35.053mm"	,"42.799mm"	,"-35.052mm"	,"42.799mm"	,"-33.426mm"	,"2"	,"B"	,"270"	,"Yes"	,"DSK310"	,
"R8"	,"RMC06035.1K1%N"	,"R0603"	,"57.15mm"	,"-8.246mm"	,"57.15mm"	,"-8.246mm"	,"57.15mm"	,"-9mm"	,"2"	,"T"	,"90"	,"Yes"	,"RMC06035.1K1%N_5.1kΩ"	,
"LED1"	,"NCD0805R1"	,"LED0805-RD_RED"	,"54.61mm"	,"-8.509mm"	,"54.61mm"	,"-8.509mm"	,"54.61mm"	,"-7.409mm"	,"2"	,"T"	,"270"	,"Yes"	,"NCD0805R1"	,
"R4"	,"TC0325B4022T5E"	,"R0603"	,"52.959mm"	,"-29.083mm"	,"52.959mm"	,"-29.083mm"	,"52.206mm"	,"-29.083mm"	,"2"	,"B"	,"0"	,"Yes"	,"TC0325B4022T5E_40.2kΩ"	,
"R7"	,"RMC06037.68K1%N"	,"R0603"	,"46.863mm"	,"-26.924mm"	,"46.863mm"	,"-26.924mm"	,"46.863mm"	,"-26.171mm"	,"2"	,"B"	,"270"	,"Yes"	,"RMC06037.68K1%N_7.68kΩ"	,
"D3"	,"DSK310"	,"SOD-123_L2.7-W1.8-LS3.7-RD"	,"16.637mm"	,"-21.208mm"	,"16.637mm"	,"-21.209mm"	,"16.637mm"	,"-22.835mm"	,"2"	,"B"	,"90"	,"Yes"	,"DSK310"	,
"C6"	,"CL10B104KC8NNNC"	,"C0603"	,"34.163mm"	,"-31.75mm"	,"34.163mm"	,"-31.75mm"	,"34.163mm"	,"-32.45mm"	,"2"	,"B"	,"90"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"H1"	,"M2.5_M2.5"	,"M2.5"	,"12mm"	,"-2.5mm"	,"12mm"	,"-2.5mm"	,"12mm"	,"-2.5mm"	,"1"	,"T"	,"0"	,"No"	,"M2.5_M2.5"	,
"H2"	,"M2.5_M2.5"	,"M2.5"	,"48mm"	,"-2.5mm"	,"44.323mm"	,"-2.5mm"	,"48mm"	,"-2.5mm"	,"1"	,"T"	,"0"	,"No"	,"M2.5_M2.5"	,
"H3"	,"M2.5_M2.5"	,"M2.5"	,"48mm"	,"-38.5mm"	,"46.355mm"	,"-38.5mm"	,"48mm"	,"-38.5mm"	,"1"	,"T"	,"0"	,"No"	,"M2.5_M2.5"	,
"H4"	,"M2.5_M2.5"	,"M2.5"	,"12mm"	,"-38.5mm"	,"12mm"	,"-38.5mm"	,"12mm"	,"-38.5mm"	,"1"	,"T"	,"0"	,"No"	,"M2.5_M2.5"	,
"R9"	,"0805W8F0000T5E"	,"R0805"	,"21.844mm"	,"-35.56mm"	,"21.844mm"	,"-35.56mm"	,"20.878mm"	,"-35.56mm"	,"2"	,"B"	,"0"	,"Yes"	,"0805W8F0000T5E_0Ω"	,
"C11"	,"CC0603KRX7R9BB104"	,"C0603"	,"56.134mm"	,"-30.353mm"	,"56.134mm"	,"-30.353mm"	,"56.834mm"	,"-30.353mm"	,"2"	,"B"	,"180"	,"Yes"	,"CC0603KRX7R9BB104_100nF"	,
"R5"	,"0805W8F0000T5E"	,"R0805"	,"21.844mm"	,"-33.401mm"	,"21.844mm"	,"-33.401mm"	,"20.878mm"	,"-33.401mm"	,"2"	,"B"	,"0"	,"Yes"	,"0805W8F0000T5E_0Ω"	,
"R2"	,"0805W8F0000T5E"	,"R0805"	,"21.844mm"	,"-31.242mm"	,"21.844mm"	,"-31.242mm"	,"20.878mm"	,"-31.242mm"	,"2"	,"B"	,"0"	,"Yes"	,"0805W8F0000T5E_0Ω"	,
"R6"	,"RG1608P-512-B-T5"	,"R0603"	,"34.29mm"	,"-28.194mm"	,"34.29mm"	,"-28.194mm"	,"34.29mm"	,"-27.441mm"	,"2"	,"B"	,"270"	,"Yes"	,"RG1608P-512-B-T5_5.1kΩ"	,
"C22"	,"CL10B104KC8NNNC"	,"C0603"	,"16.51mm"	,"-25.208mm"	,"16.51mm"	,"-25.208mm"	,"16.51mm"	,"-25.908mm"	,"2"	,"B"	,"90"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"C3"	,"C3216X5R1V226M160AC"	,"C0805"	,"28.575mm"	,"-32.258mm"	,"28.575mm"	,"-32.258mm"	,"28.575mm"	,"-33.288mm"	,"2"	,"B"	,"90"	,"Yes"	,"C3216X5R1V226M160AC_22uF"	,
"C4"	,"C3216X5R1V226M160AC"	,"C0805"	,"30.607mm"	,"-32.258mm"	,"30.607mm"	,"-32.258mm"	,"30.607mm"	,"-33.288mm"	,"2"	,"B"	,"90"	,"Yes"	,"C3216X5R1V226M160AC_22uF"	,
"C5"	,"CL10B104KC8NNNC"	,"C0603"	,"32.512mm"	,"-31.75mm"	,"32.512mm"	,"-31.75mm"	,"32.512mm"	,"-32.45mm"	,"2"	,"B"	,"90"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"C21"	,"C3216X5R1V226M160AC"	,"C0805"	,"16.51mm"	,"-29.972mm"	,"16.51mm"	,"-29.972mm"	,"16.51mm"	,"-31.002mm"	,"2"	,"B"	,"90"	,"Yes"	,"C3216X5R1V226M160AC_22uF"	,
"C13"	,"ZRB18AR60J226ME01L"	,"C0603"	,"18.161mm"	,"-15.24mm"	,"18.161mm"	,"-15.24mm"	,"18.861mm"	,"-15.24mm"	,"2"	,"B"	,"180"	,"Yes"	,"ZRB18AR60J226ME01L_22uF"	,
"C14"	,"ZRB18AR60J226ME01L"	,"C0603"	,"18.161mm"	,"-13.589mm"	,"18.161mm"	,"-13.589mm"	,"18.861mm"	,"-13.589mm"	,"2"	,"B"	,"180"	,"Yes"	,"ZRB18AR60J226ME01L_22uF"	,
"C16"	,"CL10B104KC8NNNC"	,"C0603"	,"21.017mm"	,"-15.24mm"	,"21.017mm"	,"-15.24mm"	,"20.317mm"	,"-15.24mm"	,"2"	,"B"	,"0"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"USB1"	,"TYPE-C 16PIN 3MD(385)"	,"USB-C-SMD_TYPE-C16PIN"	,"21.844mm"	,"-35.941mm"	,"21.844mm"	,"-35.941mm"	,"17.523mm"	,"-34.153mm"	,"16"	,"T"	,"0"	,"No"	,"TYPE-C 16PIN 3MD(385)"	,
"R13"	,"RMC06035.1K1%N"	,"R0603"	,"16.519mm"	,"-32.258mm"	,"16.519mm"	,"-32.258mm"	,"15.765mm"	,"-32.258mm"	,"2"	,"T"	,"0"	,"Yes"	,"RMC06035.1K1%N_5.1kΩ"	,
"R14"	,"RMC06035.1K1%N"	,"R0603"	,"25.146mm"	,"-30.988mm"	,"25.146mm"	,"-30.988mm"	,"25.899mm"	,"-30.988mm"	,"2"	,"T"	,"180"	,"Yes"	,"RMC06035.1K1%N_5.1kΩ"	,
"U4"	,"CH340N"	,"SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"	,"20.955mm"	,"-28.575mm"	,"20.955mm"	,"-28.575mm"	,"19.05mm"	,"-31.257mm"	,"8"	,"T"	,"0"	,"Yes"	,"CH340N"	,
"C26"	,"TCC0603X7R104K500CT"	,"C0603"	,"24.638mm"	,"-27.94mm"	,"24.638mm"	,"-27.94mm"	,"24.638mm"	,"-28.64mm"	,"2"	,"T"	,"90"	,"Yes"	,"TCC0603X7R104K500CT_100nF"	,
"C27"	,"TCC0603X7R104K500CT"	,"C0603"	,"17.272mm"	,"-27.813mm"	,"17.272mm"	,"-27.813mm"	,"17.272mm"	,"-28.513mm"	,"2"	,"T"	,"90"	,"Yes"	,"TCC0603X7R104K500CT_100nF"	,
"LED2"	,"NCD0805R1"	,"LED0805-RD_RED"	,"28.321mm"	,"-35.306mm"	,"28.321mm"	,"-35.306mm"	,"28.321mm"	,"-36.406mm"	,"2"	,"T"	,"90"	,"Yes"	,"NCD0805R1"	,
"R12"	,"RMC06035.1K5%N"	,"R0603"	,"28.321mm"	,"-39.243mm"	,"28.321mm"	,"-39.243mm"	,"28.321mm"	,"-39.996mm"	,"2"	,"T"	,"90"	,"Yes"	,"RMC06035.1K5%N_5.1kΩ"	,
